search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"cannelloni uncooked",48,"Female hands holding raw cannelloni ...","https://www.canstockphoto.com/female-hands-holding-raw-cannelloni-54201973.html","https://comps.canstockphoto.com/female-hands-holding-raw-cannelloni-picture_csp54201973.jpg",450,380,
"cannelloni uncooked",49,"Try me, SPINACH AND RICOTTA CANNELLONI ...","https://www.youtube.com/watch?v=j0isZhzqUi4","https://i.ytimg.com/vi/j0isZhzqUi4/maxresdefault.jpg",1280,720,
"cannelloni uncooked",50,"Italian pasta cannelloni. Raw tube for ...","https://creativemarket.com/Detry/2182297-Italian-pasta-cannelloni.-Raw-tube-for-stuffing-stuffing-surrounded-by-ingredients-for-cooking-parmesan-cheese-tomato-minced-mea","https://cmkt-image-prd.freetls.fastly.net/0.1.0/ps/3800519/910/607/m2/fpnw/wm1/bt3te2c5kn6rowpyqalrr9t9imibmoirywolenmr6yrc7jj5lvcxz1t7ttzvio11-.jpg?1515010393&s=31b959a986b197a1dc30b214e2283a25",1820,1214,
"cannelloni uncooked",51,"Italian uncooked cannelloni pasta tubes ...","https://stock.adobe.com/ca/images/italian-uncooked-cannelloni-pasta-tubes-isolated-on-white-background/239285713","https://as2.ftcdn.net/jpg/02/39/28/57/500_F_239285713_7tkjeX0642Q3HL8jyZuRVGYa9QZzOKZM.jpg",500,295,
"cannelloni uncooked",52,"Uncooked cannelloni pasta on cutting ...","https://www.freepik.com/premium-photo/uncooked-cannelloni-pasta-cutting-board-ingredient_3804680.htm","https://image.freepik.com/free-photo/uncooked-cannelloni-pasta-cutting-board-ingredient_73691-142.jpg",626,417,
"cannelloni uncooked",53,"Uncooked Cannelloni Pasta Cutting Board ...","https://depositphotos.com/224199614/stock-photo-uncooked-cannelloni-pasta-cutting-board.html","https://st4.depositphotos.com/3088329/22419/i/1600/depositphotos_224199614-stock-photo-uncooked-cannelloni-pasta-cutting-board.jpg",1600,1162,
"cannelloni uncooked",54,"Italian Pasta Cannelloni. Raw Tube For ...","https://www.123rf.com/photo_95106561_italian-pasta-cannelloni-raw-tube-for-stuffing-stuffing-surrounded-by-ingredients-for-cooking-parmes.html","https://previews.123rf.com/images/detry/detry1802/detry180200266/95106561-italian-pasta-cannelloni-raw-tube-for-stuffing-stuffing-surrounded-by-ingredients-for-cooking-parmes.jpg",1300,866,
"cannelloni uncooked",55,"Spinach & ricotta cannelloni recipe ...","https://www.bbcgoodfood.com/recipes/spinach-ricotta-cannelloni","https://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--1259591_6.jpg?itok=CS6lx6qH",500,454,
"cannelloni uncooked",56,"Make-Ahead Manicotti | Valerie's Kitchen","https://www.fromvalerieskitchen.com/make-ahead-manicotti/","https://www.fromvalerieskitchen.com/wordpress/wp-content/uploads/2015/12/Make-Ahead-Manicotti-177-titled-e1449598466154.jpg",550,823,
"cannelloni uncooked",57,"A few dry cannelloni tubules. Uncooked ...","https://www.alamy.com/a-few-dry-cannelloni-tubules-uncooked-cannelloni-on-beige-unprepared-pasta-view-from-above-selective-focus-image353226351.html","https://c8.alamy.com/comp/2BEJRPR/a-few-dry-cannelloni-tubules-uncooked-cannelloni-on-beige-unprepared-pasta-view-from-above-selective-focus-2BEJRPR.jpg",1300,951,
